problem,prover,mode,expected,result,time_s,pass
GRND001,Vampire 5.0,portfolio,Satisfiable,Timeout,0.073,FAIL
GRND002,Vampire 5.0,casc,Theorem,Timeout,0.063,FAIL
GRND003,Vampire 5.0,casc,Theorem,Timeout,0.061,FAIL
GRND004,Vampire 5.0,casc,Theorem,Timeout,0.063,FAIL
GRND005,Vampire 5.0,casc,Unsatisfiable,Timeout,0.072,FAIL
GRND006,Vampire 5.0,casc,Theorem,Timeout,0.063,FAIL
GRND007-open,Vampire 5.0,casc,Theorem,Timeout,0.061,FAIL
GRND007-closed,Vampire 5.0,portfolio,Satisfiable,Timeout,0.063,FAIL
GRND008-sanctioned,Vampire 5.0,casc,Theorem,Timeout,0.06,FAIL
GRND008-regimented,Vampire 5.0,casc,Unsatisfiable,Timeout,0.063,FAIL
GRND009-immunity,Vampire 5.0,casc,Unsatisfiable,Timeout,0.061,FAIL
GRND009-no-immunity,Vampire 5.0,casc,Unsatisfiable,Timeout,0.063,FAIL
GRND010-strong-perm,Vampire 5.0,casc,Theorem,Timeout,0.062,FAIL
GRND011-obl-relator,Vampire 5.0,casc,Theorem,Timeout,0.064,FAIL
GRND012-corr-duty,Vampire 5.0,casc,Theorem,Timeout,0.063,FAIL
GRND013-corr-power,Vampire 5.0,casc,Theorem,Timeout,0.061,FAIL
GRND014-corr-immunity,Vampire 5.0,casc,Theorem,Timeout,0.067,FAIL
GRND015-unique-founding,Vampire 5.0,casc,Theorem,Timeout,0.063,FAIL
GRND016-conflict-relator,Vampire 5.0,casc,Unsatisfiable,Timeout,0.062,FAIL
GRND017-violation-chain,Vampire 5.0,casc,Theorem,Timeout,0.074,FAIL
GRND018-about-event,Vampire 5.0,casc,Theorem,Timeout,0.062,FAIL
GRND019-two-policy-conflict,Vampire 5.0,casc,Unsatisfiable,Timeout,0.062,FAIL
GRND020-strong-perm-full-h2,Vampire 5.0,casc,Unsatisfiable,Timeout,0.063,FAIL
GRND021-remedy-chain,Vampire 5.0,casc,Theorem,Timeout,0.063,FAIL
GRND022-corr-nonunique,Vampire 5.0,casc,Unsatisfiable,Timeout,0.063,FAIL
GRND023-policy-issuance,Vampire 5.0,casc,Theorem,Timeout,0.061,FAIL
GRND024-obl-proh-coexist,Vampire 5.0,portfolio,Satisfiable,Timeout,0.061,FAIL
GRND001,Z3 4.12.2,default,sat,sat-timeout,0.052,PASS
GRND002,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND003,Z3 4.12.2,default,unsat,timeout,0.051,FAIL
GRND004,Z3 4.12.2,default,unsat,timeout,0.049,FAIL
GRND005,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND006,Z3 4.12.2,default,unsat,timeout,0.058,FAIL
GRND007-open,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND007-closed,Z3 4.12.2,default,sat,sat-timeout,0.051,PASS
GRND008-sanctioned,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND008-regimented,Z3 4.12.2,default,unsat,timeout,0.051,FAIL
GRND009-immunity,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND009-no-immunity,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND010-strong-perm,Z3 4.12.2,default,unsat,timeout,0.05,FAIL
GRND011-obl-relator,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND012-corr-duty,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND013-corr-power,Z3 4.12.2,default,unsat,timeout,0.051,FAIL
GRND014-corr-immunity,Z3 4.12.2,default,unsat,timeout,0.051,FAIL
GRND015-unique-founding,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND016-conflict-relator,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND017-violation-chain,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND018-about-event,Z3 4.12.2,default,unsat,timeout,0.056,FAIL
GRND019-two-policy-conflict,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND020-strong-perm-full-h2,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND021-remedy-chain,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND022-corr-nonunique,Z3 4.12.2,default,unsat,timeout,0.052,FAIL
GRND023-policy-issuance,Z3 4.12.2,default,unsat,timeout,0.053,FAIL
GRND024-obl-proh-coexist,Z3 4.12.2,default,sat,sat-timeout,0.051,PASS
