problem,prover,kind,expected,raw,actual,wall_s,rc,passed,diag
KGC900-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.433,0,Y,
KGC900-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.129,0,Y,
KGC900-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.150,0,Y,
KGC900-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.147,0,Y,
KGC900-1,eprover,fof,Theorem,Theorem,Theorem,0.097,0,Y,
KGC900-1,z3,smt,unsat,unsat,unsat,0.164,0,Y,
KGC900-1,cvc5,smt,unsat,unsat,unsat,0.126,0,Y,
KGC901-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.085,0,Y,
KGC901-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.126,0,Y,
KGC901-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.138,0,Y,
KGC901-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.138,0,Y,
KGC901-1,eprover,fof,Theorem,Theorem,Theorem,0.087,0,Y,
KGC901-1,z3,smt,sat,timeout,timeout,60.075,0,N,
KGC901-1,cvc5,smt,sat,unknown,unknown,0.129,0,N,
KGC902-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.209,0,Y,
KGC902-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.100,0,Y,
KGC902-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.081,0,Y,
KGC902-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.079,0,Y,
KGC902-1,eprover,fof,Theorem,Theorem,Theorem,0.123,0,Y,
KGC902-1,z3,smt,unsat,unsat,unsat,0.093,0,Y,
KGC902-1,cvc5,smt,unsat,unsat,unsat,0.087,0,Y,
KGC910-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.073,0,Y,
KGC910-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.066,0,Y,
KGC910-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.065,0,Y,
KGC910-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.067,0,Y,
KGC910-1,eprover,fof,Theorem,Theorem,Theorem,0.056,0,Y,
KGC910-1,z3,smt,unsat,unsat,unsat,0.071,0,Y,
KGC910-1,cvc5,smt,unsat,unsat,unsat,0.056,0,Y,
KGC700-1,vampire-casc,fof,Theorem,Theorem,Theorem,3.668,0,Y,
KGC700-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.265,0,Y,
KGC700-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.230,0,Y,
KGC700-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.225,0,Y,
KGC700-1,eprover,fof,Theorem,Theorem,Theorem,10.728,0,Y,
KGC700-1,z3,smt,unsat,unsat,unsat,0.131,0,Y,
KGC700-1,cvc5,smt,unsat,unsat,unsat,0.111,0,Y,
KGC701-1,vampire-casc,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,1.093,0,Y,
KGC701-1,vampire-discount,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.089,0,Y,
KGC701-1,vampire-lrs,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.134,0,Y,
KGC701-1,vampire-otter,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.105,0,Y,
KGC701-1,eprover,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.090,1,Y,
KGC701-1,vampire-fmb,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.083,0,Y,
KGC701-1,z3,smt,sat,sat,sat,0.085,0,Y,
KGC701-1,cvc5,smt,sat,unknown,unknown,0.061,0,N,
KGC702-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.078,0,Y,
KGC702-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.070,0,Y,
KGC702-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.069,0,Y,
KGC702-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.069,0,Y,
KGC702-1,eprover,fof,Theorem,Theorem,Theorem,0.064,0,Y,
KGC702-1,z3,smt,sat,sat,sat,0.073,0,Y,
KGC702-1,cvc5,smt,sat,unknown,unknown,0.058,0,N,
KGC705-1,vampire-casc,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,27.492,0,Y,
KGC705-1,vampire-discount,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,22.626,0,Y,
KGC705-1,vampire-lrs,fof,CounterSatisfiable,NoStatus,Error,59.841,1,N,
KGC705-1,vampire-otter,fof,CounterSatisfiable,NoStatus,Error,60.162,1,N,
KGC705-1,eprover,fof,CounterSatisfiable,NoStatus,Error,65.218,-2,N,host timeout
KGC705-1,vampire-fmb,fof,CounterSatisfiable,NoStatus,Error,60.171,1,N,
KGC705-1,z3,smt,sat,sat,sat,0.224,0,Y,
KGC705-1,cvc5,smt,sat,unknown,unknown,0.152,0,N,
KGC706-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.301,0,Y,
KGC706-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.417,0,Y,
KGC706-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.325,0,Y,
KGC706-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.334,0,Y,
KGC706-1,eprover,fof,Theorem,Theorem,Theorem,22.805,0,Y,
KGC706-1,z3,smt,unsat,unsat,unsat,0.141,0,Y,
KGC706-1,cvc5,smt,unsat,unsat,unsat,0.134,0,Y,
KGC300-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.162,0,Y,
KGC300-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.100,0,Y,
KGC300-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.086,0,Y,
KGC300-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.085,0,Y,
KGC300-1,eprover,fof,Theorem,Theorem,Theorem,0.320,0,Y,
KGC300-1,z3,smt,unsat,unsat,unsat,0.077,0,Y,
KGC300-1,cvc5,smt,unsat,unsat,unsat,0.054,0,Y,
KGC301-1,vampire-casc,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.817,0,Y,
KGC301-1,vampire-discount,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.071,0,Y,
KGC301-1,vampire-lrs,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.066,0,Y,
KGC301-1,vampire-otter,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.065,0,Y,
KGC301-1,eprover,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.075,1,Y,
KGC301-1,vampire-fmb,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.070,0,Y,
KGC301-1,z3,smt,sat,sat,sat,0.081,0,Y,
KGC301-1,cvc5,smt,sat,sat,sat,0.057,1,Y,
KGC302-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.071,0,Y,
KGC302-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.069,0,Y,
KGC302-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.065,0,Y,
KGC302-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.067,0,Y,
KGC302-1,eprover,fof,Theorem,Theorem,Theorem,0.059,0,Y,
KGC302-1,z3,smt,sat,sat,sat,0.066,0,Y,
KGC302-1,cvc5,smt,sat,sat,sat,0.054,0,Y,
KGC400-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.077,0,Y,
KGC400-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.088,0,Y,
KGC400-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.085,0,Y,
KGC400-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.084,0,Y,
KGC400-1,eprover,fof,Theorem,Theorem,Theorem,0.322,0,Y,
KGC400-1,z3,smt,unsat,unsat,unsat,0.061,0,Y,
KGC400-1,cvc5,smt,unsat,unsat,unsat,0.053,0,Y,
KGC401-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.070,0,Y,
KGC401-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.070,0,Y,
KGC401-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.066,0,Y,
KGC401-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.066,0,Y,
KGC401-1,eprover,fof,Theorem,Theorem,Theorem,0.065,0,Y,
KGC401-1,z3,smt,sat,sat,sat,0.073,0,Y,
KGC401-1,cvc5,smt,sat,sat,sat,0.054,0,Y,
KGC402-1,vampire-casc,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.810,0,Y,
KGC402-1,vampire-discount,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.070,0,Y,
KGC402-1,vampire-lrs,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.069,0,Y,
KGC402-1,vampire-otter,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.069,0,Y,
KGC402-1,eprover,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.086,1,Y,
KGC402-1,vampire-fmb,fof,CounterSatisfiable,CounterSatisfiable,CounterSatisfiable,0.065,0,Y,
KGC402-1,z3,smt,sat,sat,sat,0.079,0,Y,
KGC402-1,cvc5,smt,sat,unknown,unknown,0.059,0,N,
KGC410-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.074,0,Y,
KGC410-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.089,0,Y,
KGC410-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.084,0,Y,
KGC410-1,vampire-otter,fof,Theorem,Theorem,Theorem,0.107,0,Y,
KGC410-1,eprover,fof,Theorem,Theorem,Theorem,0.199,0,Y,
KGC410-1,z3,smt,unsat,unsat,unsat,0.072,0,Y,
KGC410-1,cvc5,smt,unsat,unsat,unsat,0.056,0,Y,
KGC411-1,vampire-casc,fof,Theorem,Theorem,Theorem,0.070,0,Y,
KGC411-1,vampire-discount,fof,Theorem,Theorem,Theorem,0.066,0,Y,
KGC411-1,vampire-lrs,fof,Theorem,Theorem,Theorem,0.066,0,Y,
