prover,problems_solved,time
vampire,1,0.0606
vampire,2,0.0615
vampire,3,0.0616
vampire,4,0.0618
vampire,5,0.0620
vampire,6,0.0627
vampire,7,0.0627
vampire,8,0.0631
vampire,9,0.0641
vampire,10,0.0644
vampire,11,0.0645
vampire,12,0.0646
vampire,13,0.0647
vampire,14,0.0649
vampire,15,0.0651
vampire,16,0.0653
vampire,17,0.0653
vampire,18,0.0654
vampire,19,0.0656
vampire,20,0.0658
vampire,21,0.0658
vampire,22,0.0659
vampire,23,0.0659
vampire,24,0.0660
vampire,25,0.0660
vampire,26,0.0662
vampire,27,0.0665
vampire,28,0.0666
vampire,29,0.0666
vampire,30,0.0668
vampire,31,0.0670
vampire,32,0.0670
vampire,33,0.0672
vampire,34,0.0673
vampire,35,0.0674
vampire,36,0.0674
vampire,37,0.0674
vampire,38,0.0674
vampire,39,0.0676
vampire,40,0.0677
vampire,41,0.0677
vampire,42,0.0678
vampire,43,0.0680
vampire,44,0.0681
vampire,45,0.0685
vampire,46,0.0687
vampire,47,0.0689
vampire,48,0.0689
vampire,49,0.0692
vampire,50,0.0695
vampire,51,0.0695
vampire,52,0.0697
vampire,53,0.0698
vampire,54,0.0698
vampire,55,0.0699
vampire,56,0.0699
vampire,57,0.0700
vampire,58,0.0702
vampire,59,0.0704
vampire,60,0.0705
vampire,61,0.0705
vampire,62,0.0706
vampire,63,0.0714
vampire,64,0.0715
vampire,65,0.0716
vampire,66,0.0718
vampire,67,0.0721
vampire,68,0.0725
vampire,69,0.0727
vampire,70,0.0737
vampire,71,0.0740
vampire,72,0.0742
vampire,73,0.0743
vampire,74,0.0746
vampire,75,0.0746
vampire,76,0.0746
vampire,77,0.0752
vampire,78,0.0753
vampire,79,0.0759
vampire,80,0.0761
vampire,81,0.0767
vampire,82,0.0768
vampire,83,0.0769
vampire,84,0.0772
vampire,85,0.0776
vampire,86,0.0776
vampire,87,0.0777
vampire,88,0.0780
vampire,89,0.0781
vampire,90,0.0782
vampire,91,0.0787
vampire,92,0.0788
vampire,93,0.0790
vampire,94,0.0793
vampire,95,0.0801
vampire,96,0.0805
vampire,97,0.0810
vampire,98,0.0815
vampire,99,0.0820
vampire,100,0.0824
vampire,101,0.0826
vampire,102,0.0827
vampire,103,0.0832
vampire,104,0.0833
vampire,105,0.0840
vampire,106,0.0841
vampire,107,0.0842
vampire,108,0.0857
vampire,109,0.0861
vampire,110,0.0864
vampire,111,0.0865
vampire,112,0.0873
vampire,113,0.0875
vampire,114,0.0886
vampire,115,0.0891
vampire,116,0.0894
vampire,117,0.0927
vampire,118,0.0988
vampire,119,0.1055
vampire,120,0.1121
vampire,121,0.1128
vampire,122,0.1179
vampire,123,0.1306
vampire,124,0.1703
vampire,125,0.1708
vampire,126,0.1830
vampire,127,0.1948
vampire,128,0.1992
vampire,129,0.2180
vampire,130,0.2321
vampire,131,0.2447
vampire,132,0.2558
vampire,133,0.2784
vampire,134,0.2891
vampire,135,0.4443
vampire,136,0.4725
vampire,137,0.6230
vampire,138,0.7031
vampire,139,0.7280
vampire,140,0.8082
vampire,141,0.8167
vampire,142,0.9112
