category,file,expected,vampire,vampire_t,pass
MultiHopAlignment,ODRL080-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL081-1.p,Theorem,Theorem,0.11,True
MultiHopAlignment,ODRL082-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL083-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL084-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL085-1.p,CounterSatisfiable,Unknown,30.07,True
MultiHopAlignment,ODRL086-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL087-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL088-1.p,CounterSatisfiable,Unknown,30.07,True
MultiHopAlignment,ODRL089-1.p,CounterSatisfiable,Unknown,30.08,True
MultiHopAlignment,ODRL089-2.p,Theorem,Theorem,0.08,True
MultiHopAlignment,ODRL150-1.p,CounterSatisfiable,Unknown,30.07,True
MultiHopAlignment,ODRL151-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL152-1.p,CounterSatisfiable,Unknown,30.06,True
MultiHopAlignment,ODRL153-1.p,Theorem,Theorem,0.08,True
MultiHopAlignment,ODRL154-1.p,CounterSatisfiable,Unknown,30.11,True
MultiHopAlignment,ODRL155-1.p,Theorem,Theorem,0.07,True
MultiHopAlignment,ODRL156-1.p,CounterSatisfiable,Unknown,30.06,True
MultiHopAlignment,ODRL157-1.p,Theorem,Theorem,0.08,True
MultiHopAlignment,ODRL158-1.p,Theorem,Theorem,0.06,True
MultiHopAlignment,ODRL158-2.p,Theorem,Theorem,0.12,True
MultiHopAlignment,ODRL159-1.p,CounterSatisfiable,Unknown,30.07,True
