Category,Problems,vampire_solved,z3_solved,vampire_avg_time,z3_avg_time
AdvDeep,12,12,12,0.1534,0.0846
Adversarial,7,7,7,0.4920,0.1154
AlignAdv,10,10,10,0.4943,0.1387
Alignment,13,13,13,0.5486,0.0782
CompDeep,8,8,8,0.5216,0.1703
CrossDataspace,6,6,6,0.5313,0.1723
HasPart,7,7,7,0.0711,0.0615
IsAllOf,9,9,9,0.5346,0.0846
IsAnyOf,9,9,9,0.3517,0.0796
IsNoneOf,10,10,10,0.2857,0.0793
Language,5,5,5,0.0736,0.0676
LogicalOr,5,5,5,0.4705,0.1206
LogicalXone,4,4,4,0.5518,0.0995
Neq,7,7,7,0.1033,0.0877
Nominal,8,8,8,0.0859,0.0631
OperatorPairs,12,12,12,0.2659,0.1169
Purpose,10,10,10,0.3646,0.0921
Runtime,6,6,6,0.0683,0.0590
Scaled,24,24,0,0.1486,N/A
Spatial,6,6,6,0.2313,0.0692
