problem,prover,mode,expected,result,time_s,pass
GRND001,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.815,PASS
GRND002,Vampire 5.0,casc,Theorem,Theorem,0.071,PASS
GRND003,Vampire 5.0,casc,Theorem,Theorem,0.071,PASS
GRND004,Vampire 5.0,casc,Theorem,Theorem,0.071,PASS
GRND005,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.068,PASS
GRND006,Vampire 5.0,casc,Theorem,Theorem,0.101,PASS
GRND007-open,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
GRND007-closed,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.48,PASS
GRND008-sanctioned,Vampire 5.0,casc,Theorem,Theorem,0.073,PASS
GRND008-regimented,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.071,PASS
GRND009-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.069,PASS
GRND009-no-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.071,PASS
GRND010-strong-perm,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
GRND011-obl-relator,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
GRND012-corr-duty,Vampire 5.0,casc,Theorem,Theorem,0.101,PASS
GRND013-corr-power,Vampire 5.0,casc,Theorem,Theorem,0.103,PASS
GRND014-corr-immunity,Vampire 5.0,casc,Theorem,Theorem,0.102,PASS
GRND015-unique-founding,Vampire 5.0,casc,Theorem,Theorem,0.068,PASS
GRND016-conflict-relator,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.069,PASS
GRND017-violation-chain,Vampire 5.0,casc,Theorem,Theorem,0.075,PASS
GRND018-about-event,Vampire 5.0,casc,Theorem,Theorem,0.074,PASS
GRND019-two-policy-conflict,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.071,PASS
GRND020-strong-perm-full-h2,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.074,PASS
GRND021-remedy-chain,Vampire 5.0,casc,Theorem,Theorem,0.076,PASS
GRND022-corr-nonunique,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.073,PASS
GRND023-policy-issuance,Vampire 5.0,casc,Theorem,Theorem,0.07,PASS
GRND024-obl-proh-coexist,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.485,PASS
GRND001,Z3 4.12.2,default,sat,sat-timeout,30.321,PASS
GRND002,Z3 4.12.2,default,unsat,unsat,0.086,PASS
GRND003,Z3 4.12.2,default,unsat,unsat,0.065,PASS
GRND004,Z3 4.12.2,default,unsat,unsat,0.068,PASS
GRND005,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND006,Z3 4.12.2,default,unsat,unsat,0.072,PASS
GRND007-open,Z3 4.12.2,default,unsat,unsat-timeout,30.154,PASS
GRND007-closed,Z3 4.12.2,default,sat,sat-timeout,30.077,PASS
GRND008-sanctioned,Z3 4.12.2,default,unsat,unsat,0.176,PASS
GRND008-regimented,Z3 4.12.2,default,unsat,unsat,0.079,PASS
GRND009-immunity,Z3 4.12.2,default,unsat,unsat,0.084,PASS
GRND009-no-immunity,Z3 4.12.2,default,unsat,unsat,0.076,PASS
GRND010-strong-perm,Z3 4.12.2,default,unsat,unsat,0.089,PASS
GRND011-obl-relator,Z3 4.12.2,default,unsat,unsat,0.078,PASS
GRND012-corr-duty,Z3 4.12.2,default,unsat,unsat,0.897,PASS
GRND013-corr-power,Z3 4.12.2,default,unsat,unsat,0.236,PASS
GRND014-corr-immunity,Z3 4.12.2,default,unsat,unsat,0.11,PASS
GRND015-unique-founding,Z3 4.12.2,default,unsat,unsat,0.066,PASS
GRND016-conflict-relator,Z3 4.12.2,default,unsat,unsat,0.079,PASS
GRND017-violation-chain,Z3 4.12.2,default,unsat,unsat,0.077,PASS
GRND018-about-event,Z3 4.12.2,default,unsat,unsat,0.082,PASS
GRND019-two-policy-conflict,Z3 4.12.2,default,unsat,unsat,0.079,PASS
GRND020-strong-perm-full-h2,Z3 4.12.2,default,unsat,unsat,0.091,PASS
GRND021-remedy-chain,Z3 4.12.2,default,unsat,unsat,0.082,PASS
GRND022-corr-nonunique,Z3 4.12.2,default,unsat,unsat,0.239,PASS
GRND023-policy-issuance,Z3 4.12.2,default,unsat,unsat,0.096,PASS
GRND024-obl-proh-coexist,Z3 4.12.2,default,sat,sat-timeout,30.215,PASS
