problem,prover,mode,expected,result,time_s,pass
GRND001,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.794,PASS
GRND002,Vampire 5.0,casc,Theorem,Theorem,0.07,PASS
GRND003,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
GRND004,Vampire 5.0,casc,Theorem,Theorem,0.074,PASS
GRND005,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.068,PASS
GRND006,Vampire 5.0,casc,Theorem,Theorem,0.102,PASS
GRND007-open,Vampire 5.0,casc,Theorem,Theorem,0.07,PASS
GRND007-closed,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.485,PASS
GRND008-sanctioned,Vampire 5.0,casc,Theorem,Theorem,0.078,PASS
GRND008-regimented,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.071,PASS
GRND009-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.071,PASS
GRND009-no-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.072,PASS
GRND010-strong-perm,Vampire 5.0,casc,Theorem,Theorem,0.073,PASS
GRND011-obl-relator,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
GRND012-corr-duty,Vampire 5.0,casc,Theorem,Theorem,0.1,PASS
GRND013-corr-power,Vampire 5.0,casc,Theorem,Theorem,0.1,PASS
GRND014-corr-immunity,Vampire 5.0,casc,Theorem,Theorem,0.099,PASS
GRND015-unique-founding,Vampire 5.0,casc,Theorem,Theorem,0.068,PASS
GRND016-conflict-relator,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.109,PASS
GRND017-violation-chain,Vampire 5.0,casc,Theorem,Theorem,0.141,PASS
GRND018-about-event,Vampire 5.0,casc,Theorem,Theorem,0.108,PASS
GRND019-two-policy-conflict,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.076,PASS
GRND020-strong-perm-full-h2,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.077,PASS
GRND021-remedy-chain,Vampire 5.0,casc,Theorem,Theorem,0.078,PASS
GRND022-corr-nonunique,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.09,PASS
GRND023-policy-issuance,Vampire 5.0,casc,Theorem,Theorem,0.074,PASS
GRND024-obl-proh-coexist,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.496,PASS
GRND025-unique-founding-rem,Vampire 5.0,casc,Theorem,Theorem,0.071,PASS
GRND026-unique-founding-imm,Vampire 5.0,casc,Theorem,Theorem,0.072,PASS
