kb,problem,level,pct,type,expected,vampire,vampire_t,z3,pass
GEO,GEO_C01,full,0%,CONFLICT,Theorem,Theorem,0.18,Theorem,True
GEO,GEO_C01,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.08,Theorem,False
GEO,GEO_C01,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C01,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.10,Theorem,False
GEO,GEO_C01,empty,100%,CONFLICT,Unknown,Unknown,30.08,Unknown,True
GEO,GEO_C02,full,0%,CONFLICT,Theorem,Theorem,0.12,Theorem,True
GEO,GEO_C02,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C02,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C02,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C02,empty,100%,CONFLICT,Unknown,Unknown,30.09,Unknown,True
GEO,GEO_C03,full,0%,CONFLICT,Theorem,Theorem,0.11,Theorem,True
GEO,GEO_C03,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.10,Theorem,False
GEO,GEO_C03,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C03,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.08,Theorem,False
GEO,GEO_C03,empty,100%,CONFLICT,Unknown,Unknown,30.11,Unknown,True
GEO,GEO_C04,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_C04,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C04,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C04,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C04,empty,100%,CONFLICT,Unknown,Unknown,30.08,Unknown,True
GEO,GEO_C05,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_C05,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C05,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C05,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
GEO,GEO_C05,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
GEO,GEO_C06,full,0%,CONFLICT,Theorem,Theorem,0.10,Theorem,True
GEO,GEO_C06,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C06,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C06,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
GEO,GEO_C06,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
GEO,GEO_C07,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_C07,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
GEO,GEO_C07,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
GEO,GEO_C07,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
GEO,GEO_C07,empty,100%,CONFLICT,Unknown,Unknown,30.09,Unknown,True
GEO,GEO_C08,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_C08,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C08,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
GEO,GEO_C08,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
GEO,GEO_C08,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
GEO,GEO_M01,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M01,pct25,25%,COMPAT,Theorem,Theorem,0.06,Theorem,True
GEO,GEO_M01,pct50,50%,COMPAT,Theorem,Theorem,0.11,Theorem,True
GEO,GEO_M01,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
GEO,GEO_M01,empty,100%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M02,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M02,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M02,pct50,50%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M02,pct75,75%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M02,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
GEO,GEO_M03,full,0%,COMPAT,Theorem,Theorem,0.06,Theorem,True
GEO,GEO_M03,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M03,pct50,50%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M03,pct75,75%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M03,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
GEO,GEO_M04,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M04,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M04,pct50,50%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M04,pct75,75%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M04,empty,100%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M05,full,0%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M05,pct25,25%,COMPAT,Theorem,Theorem,0.07,Theorem,True
GEO,GEO_M05,pct50,50%,COMPAT,Theorem,Theorem,0.06,Theorem,True
GEO,GEO_M05,pct75,75%,COMPAT,Theorem,Theorem,0.06,Theorem,True
GEO,GEO_M05,empty,100%,COMPAT,Theorem,Theorem,0.06,Theorem,True
DPV,DPV_C01,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C01,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C01,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C01,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C01,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
DPV,DPV_C02,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C02,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C02,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C02,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C02,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
DPV,DPV_C03,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C03,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C03,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.07,Theorem,False
DPV,DPV_C03,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C03,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
DPV,DPV_C04,full,0%,CONFLICT,Theorem,Theorem,0.07,Theorem,True
DPV,DPV_C04,pct25,25%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C04,pct50,50%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C04,pct75,75%,CONFLICT,Unknown_or_Theorem,Theorem,0.06,Theorem,False
DPV,DPV_C04,empty,100%,CONFLICT,Unknown,Unknown,30.07,Unknown,True
