benchmark,name,prover,encoding,expected,actual,match,time_s,error
ODRL090,theorem3-forward-conflict-no-context,vampire,tptp,Theorem,Theorem,True,0.138,
ODRL090,theorem3-forward-conflict-no-context,z3,smt2,unsat,unsat,True,0.170,
ODRL091,runtime-witness-compatible-europe-germany,vampire,tptp,Theorem,Theorem,True,0.068,
ODRL091,runtime-witness-compatible-europe-germany,z3,smt2,unsat,unsat,True,1.146,
ODRL092,theorem3-contrapositive-witness-compatible,vampire,tptp,Theorem,Theorem,True,0.061,
ODRL092,theorem3-contrapositive-witness-compatible,z3,smt2,unsat,unsat,True,0.086,
ODRL093,permissive-satisfaction-ungrounded,vampire,tptp,Theorem,Theorem,True,0.067,
ODRL093,permissive-satisfaction-ungrounded,z3,smt2,unsat,unsat,True,0.074,
ODRL094,multi-operand-runtime-spatial-purpose,vampire,tptp,Theorem,Theorem,True,0.131,
ODRL094,multi-operand-runtime-spatial-purpose,z3,smt2,unsat,unsat,True,2.287,
ODRL095,runtime-conflict-propagation-lemma2-theorem3,vampire,tptp,Theorem,Theorem,True,0.062,
ODRL095,runtime-conflict-propagation-lemma2-theorem3,z3,smt2,unsat,unsat,True,1.929,
